Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
01/30/2020,170.9688263,8.840000153,131.0263062,1455.839966,20.75873375,74.42666626,33.46831512,56.85571671,80.27424622,129.9546814,34.88497925,45.6361084,32.60555649,64.85730743,48.77999878,71.13999939,245.4050598,1870.680054,52.59168625,44.2479744
01/31/2020,168.4455566,8.819999695,127.6226501,1434.22998,20.55625534,71.99803162,32.89704895,56.93233871,76.71498871,136.5678558,35.0620575,44.40922928,31.9725399,62.37893295,47,70.18000031,236.0404968,2008.719971,51.06728745,43.64370346
02/03/2020,172.5520477,8.979999542,128.5964966,1485.939941,20.53697205,72.69468689,33.58650589,55.60097885,76.50431061,138.981308,34.44693375,44.95021057,32.10887909,62.85704041,48.02000046,70.48000336,239.9340973,2004.199951,51.3995285,44.06279755
02/04/2020,178.2318726,9.180000305,130.4477692,1447.069946,20.77801514,74.02027893,33.77365112,55.83085632,79.02999878,141.6797791,35.07137299,46.00320435,32.74189758,63.87181091,49.45000076,73,246.7228851,2049.669922,52.78712082,44.78401947
02/05/2020,178.0141907,8.31000042,132.6654663,1448.22998,20.99977684,76.29410553,34.80783463,56.63542175,79.67443848,148.5399933,35.23914337,46.80502319,33.80342865,65.70619202,49.84000015,70.51000214,250.3468933,2039.869995,53.73498154,45.78787994
02/06/2020,181.7050934,8.25,132.6847382,1476.22998,21.05762672,76.41021729,33.98048401,56.93233871,80.60638428,148.9485626,35.82630157,47.03688049,33.76447678,65.78463745,49.31999969,71.55000305,253.8311615,2050.22998,53.75452042,46.33367538
02/07/2020,181.9623566,8.109999657,132.2604828,1479.22998,20.9515667,76.13928986,33.35997009,57.41123962,79.51072693,147.2876129,35.83562088,46.34132385,33.70604324,64.73545837,49.72999954,70.08999634,251.1755371,2079.280029,53.77406693,46.05103302
02/10/2020,186.7219391,8.06000042,132.8100891,1508.680054,21.11547661,75.93609619,33.41906738,57.69858551,79.88835907,148.2668915,35.73310089,47.21076584,33.78395462,65.09825897,52.25999832,70.16999817,262.5368042,2133.909912,54.08676529,45.31031799
02/11/2020,182.5066071,8.100000381,133.060791,1508.790039,21.43365669,76.52632141,33.66530228,56.21398163,79.40637207,147.3547974,35.57465744,47.46193695,33.861866,66.09842682,53.79999924,70.31999969,267.4486694,2150.800049,54.50695038,45.24209213
02/12/2020,182.7737732,8.239999771,133.060791,1518.27002,21.67469788,76.75854492,34.16762161,55.77338791,81.292099,149.1117859,35.45349884,48.23477554,34.00794983,66.14743805,53.88999939,70.76999664,272.0910339,2160,54.89782333,45.37854004
02/13/2020,181.7842712,8.25,132.9450836,1514.660034,21.42401314,76.4392395,34.0395813,56.17567062,80.71321869,148.1516876,35.70514297,45.71339035,33.99820709,66.12783813,54.52999878,69.59999847,270.3339233,2149.870117,54.65353012,44.86198807
02/14/2020,183.4070587,8.100000381,132.5401306,1520.73999,21.56863976,76.23604584,33.84259796,56.04157257,80.73308563,144.6857605,35.64921951,45.37527847,33.93977356,65.96113586,55.31000137,68.83000183,289.3125916,2134.870117,54.56558609,44.73529053
02/18/2020,185.2673645,8.06000042,130.7852478,1519.670044,21.44329834,75.06526947,34.04942703,55.46688461,79.25482178,145.0697937,35.658535,45.0081749,33.37492752,64.85312653,56.88999939,66.63999939,296.0814514,2155.669922,54.25288773,44.14076996
02/19/2020,185.822998,8,132.569046,1526.689941,21.62648964,75.52003479,34.33506393,55.7638092,80.40264893,144.8393707,35.82630157,44.7183609,33.81317139,65.80425262,58.90000153,67.06999969,314.1816101,2170.219971,55.02485657,44.75477982
02/20/2020,182.9852295,8.029999733,132.569046,1518.150024,21.82896805,75.68452454,35.32985306,55.63929367,79.57780457,145.1849976,35.98474121,45.25934601,33.93977356,64.17655182,57.27000046,66.73999786,308.1914673,2153.100098,52.52328491,44.66706467
02/21/2020,177.2006073,7.889999866,130.9491882,1485.109985,21.88681984,73.96221924,34.6600914,55.74465179,77.77655792,143.8600769,35.92882156,44.72801971,33.46257782,63.0881424,53.27999878,65.94000244,293.5855713,2095.969971,51.22363663,43.89710999
02/24/2020,169.5605164,7.570000172,127.4298172,1421.589966,21.30831337,70.17896271,33.61605835,55.54351425,74.08214569,140.5861511,35.46281815,42.50611115,31.87514305,60.55834579,49.11999893,63.93000031,272.829834,2009.290039,48.5461731,42.03557968
02/25/2020,166.7624512,7.230000019,121.7409897,1388.449951,22.51353455,67.17944336,32.26668167,54.71021271,71.57282257,136.0545502,34.81040955,41.28889084,30.26824379,58.56784821,47.56999969,63.58000183,261.6183167,1972.73999,46.93382645,40.5346489
02/26/2020,168.8460999,7.210000038,122.1073837,1393.180054,21.89645958,65.9699707,31.28174591,54.72937393,72.70822144,134.17276,34.57741165,40.72858429,29.82999611,58.48939896,47.49000168,63.93999863,267.2090759,1979.589966,46.1618576,40.32023621
02/27/2020,156.9493866,6.96999979,117.0260086,1318.089966,21.09619331,62.36087036,30.70062828,52.73712158,67.95542145,127.79776,33.30056763,38.68056107,28.36917305,54.74372864,44.00999832,60.88999939,252.3347321,1884.300049,44.37362289,39.92063904
02/28/2020,160.749588,6.960000038,111.9542618,1339.329956,20.0452404,61.40296555,30.01116943,51.87509155,67.91566467,124.9558792,32.8252449,38.57429504,27.75563049,54.4397583,45.47999954,62.20000076,269.7863464,1883.75,44.00229263,38.88753891
03/02/2020,171.4457245,7.199999809,117.1706238,1389.109985,21.07691002,65.399086,30.59228325,54.90177536,74.23866272,128.9402771,34.65197372,39.77219772,28.60290718,57.04800034,47.45999908,64.16000366,276.139679,1953.949951,45.41920471,39.92063904
03/03/2020,163.2301483,6.96999979,112.7738419,1341.390015,20.00667381,62.94143295,28.80953979,53.35012054,71.88089752,123.7557678,33.83180618,38.68056107,27.02521515,54.88100052,46.75,63.18000031,265.6107788,1908.98999,43.38667297,37.84469223
03/04/2020,169.2231445,7.079999924,115.5604095,1386.52002,20.82622337,65.20557404,30.02698517,55.66802979,75.215065,128.8634644,35.58398438,39.98472214,27.64850235,57.53827286,50.11000061,64.79000092,284.2112427,1975.829956,44.20750427,39.47231674
03/05/2020,164.9764404,6.739999771,109.8908615,1319.040039,20.76837349,61.43199539,27.74178123,54.74852753,72.7753067,124.3798294,34.65197372,38.22651672,26.24696541,55.85173798,48.11000061,63.43999863,273.0029907,1924.030029,41.61798477,38.30276108
